ensembl_gene_id,symbol,average_log2_expression,joint_F,joint_p_value,joint_fdr,average_post_log2FC,average_post_t,average_post_p_value,average_post_fdr,Middle_vs_Early_D1,Late_vs_Early_D1,Middle_vs_Early_D2,Late_vs_Early_D2,Middle_vs_Early_D6,Late_vs_Early_D6,mean_Middle_vs_Early_log2FC,mean_Late_vs_Early_log2FC,average_fold_change_ratio,average_two_fold_pass,positive_contrasts,negative_contrasts,trajectory_direction,all_six_same_direction,joint_selected,post_selected,absolute_average_post_log2FC,post_rank,expression_filter_pass
ENSMUSG00000010825,Grid2ip,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000010841,1700006E09Rik,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000011008,Mcoln2,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000011034,Slc5a1,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000011118,Panx3,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000011154,Cfap161,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000011263,Exoc3l2,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000011267,Zfp296,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000011305,Plin5,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000011349,Dmrtc2,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000011350,Gm5893,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000011486,Slc25a41,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000011632,Pinlyp,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000011751,Sptbn4,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000012042,4930579F01Rik,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000012187,Mogat1,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000012211,Tex22,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000012282,Wnt8a,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000012350,Ehf,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000012396,Nanog,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000012428,Steap4,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000012705,Retn,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000012777,Acp4,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000013158,4933405L10Rik,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000013338,Fer1l4,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000013353,4931406B18Rik,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000013523,Bcas1,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000013562,4833413E03Rik,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000013584,Aldh1a2,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000013611,Snx31,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000013653,1810065E05Rik,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000013668,4933402N03Rik,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000013707,Tnfaip8l2,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000013766,Ly6g6e,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000013928,Thap8,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000013974,Mcemp1,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000014164,Klhl3,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000014198,Zfp385c,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000014351,Gip,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000014453,Blk,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000014529,Tmbim7,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000014609,Chrne,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000014686,Ceacam16,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000014725,Adam28,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000014852,Adamts13,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000015001,Oc90,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000015085,Entpd2,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000015224,Cyp2j9,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000015316,Slamf1,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000015340,Cybb,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000015355,Cd48,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000015396,Cd83,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000015401,Tmem27,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000015405,Ace2,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000015437,Gzmb,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
