category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,gene_set
Metabolism,Glycan biosynthesis and metabolism,mmu00601,Glycosphingolipid biosynthesis - lacto and neolacto series - Mus musculus (house mouse),3/359,20/5932,0.15,2.47855153203343,1.6809349825056,0.116902489426165,0.758567264720892,0.713720461759744,108105/14345/93961,3,Downregulated advanced-passage signature
Metabolism,Xenobiotics biodegradation and metabolism,mmu00982,Drug metabolism - cytochrome P450 - Mus musculus (house mouse),4/359,32/5932,0.125,2.06545961002786,1.53374316035992,0.125160348459654,0.777591952132316,0.731620401970203,67689/14858/14857/621603,4,Downregulated advanced-passage signature
Human Diseases,Infectious disease: parasitic,mmu05144,Malaria - Mus musculus (house mouse),4/359,32/5932,0.125,2.06545961002786,1.53374316035992,0.125160348459654,0.777591952132316,0.731620401970203,16415/21939/16173/15122,4,Downregulated advanced-passage signature
Environmental Information Processing,Signal transduction,mmu04151,PI3K-Akt signaling pathway - Mus musculus (house mouse),21/359,270/5932,0.0777777777777778,1.28517486846178,1.21723621306472,0.139424231481523,0.801891369491756,0.754483227964486,12444/16334/16421/21687/13867/16773/72930/16404/16782/16420/16401/16403/14176/14254/21802/71785/66066/12445/14710/12571/231991,21,Downregulated advanced-passage signature
Metabolism,Amino acid metabolism,mmu00360,Phenylalanine metabolism - Mus musculus (house mouse),2/359,11/5932,0.181818181818182,3.00430488731324,1.68860963228689,0.14005636932904,0.801891369491756,0.754483227964486,67689/621603,2,Downregulated advanced-passage signature
Metabolism,Glycan biosynthesis and metabolism,mmu00603,Glycosphingolipid biosynthesis - globo and isoglobo series - Mus musculus (house mouse),2/359,11/5932,0.181818181818182,3.00430488731324,1.68860963228689,0.14005636932904,0.801891369491756,0.754483227964486,20442/93961,2,Downregulated advanced-passage signature
,,mmu03273,Virion - Lassa virus and SFTS virus - Mus musculus (house mouse),2/359,11/5932,0.181818181818182,3.00430488731324,1.68860963228689,0.14005636932904,0.801891369491756,0.754483227964486,71960/75599,2,Downregulated advanced-passage signature
Organismal Systems,Endocrine system,mmu04921,Oxytocin signaling pathway - Mus musculus (house mouse),10/359,113/5932,0.0884955752212389,1.46227229028521,1.25915608758214,0.144860922543165,0.811453629777893,0.763480163561753,17260/241113/12295/12322/12292/18160/20190/216459/16515/238564,10,Downregulated advanced-passage signature
Organismal Systems,Environmental adaptation,mmu04710,Circadian rhythm - Mus musculus (house mouse),4/359,34/5932,0.117647058823529,1.94396198590857,1.40090357785717,0.147284391706261,0.811453629777893,0.763480163561753,241113/18143/213311/225998,4,Downregulated advanced-passage signature
,,mmu04519,Cadherin signaling - Mus musculus (house mouse),20/359,259/5932,0.0772200772200772,1.27595960465041,1.15253910353348,0.153860692514621,0.831987448412395,0.782800014548072,12550/14365/17912/76884/16669/22422/105855/107934/13346/12552/12555/74127/233424/12563/140577/320865/209760/75599/66922/13512,20,Downregulated advanced-passage signature
Environmental Information Processing,Signal transduction,mmu04390,Hippo signaling pathway - Mus musculus (house mouse),11/359,130/5932,0.0846153846153846,1.39815727448039,1.16494154468559,0.162362402172925,0.861996753354441,0.811035157265714,16415/12444/12550/12164/14365/22422/72930/12163/12445/58220/12695,11,Downregulated advanced-passage signature
Organismal Systems,Immune system,mmu04670,Leukocyte transendothelial migration - Mus musculus (house mouse),7/359,75/5932,0.0933333333333333,1.54220984215413,1.19929792164111,0.166671550176202,0.865941604852348,0.814746787550335,16415/17969/12737/16401/17907/234779/12738,7,Downregulated advanced-passage signature
Environmental Information Processing,Signal transduction,mmu04350,TGF-beta signaling pathway - Mus musculus (house mouse),8/359,89/5932,0.0898876404494382,1.48527432631217,1.17066070351301,0.169036546152684,0.865941604852348,0.814746787550335,12164/13179/15904/207596/12163/69585/244058/23892,8,Downregulated advanced-passage signature
Organismal Systems,Sensory system,mmu04750,Inflammatory mediator regulation of TRP channels - Mus musculus (house mouse),7/359,76/5932,0.0921052631578947,1.52191760738895,1.1621839550493,0.174742105702015,0.879736118361871,0.827725763851652,18755/14063/16180/12322/234779/19219/385643,7,Downregulated advanced-passage signature
Metabolism,Xenobiotics biodegradation and metabolism,mmu00980,Metabolism of xenobiotics by cytochrome P450 - Mus musculus (house mouse),4/359,37/5932,0.108108108108108,1.78634344651058,1.21769323635582,0.183007297869251,0.890635516297022,0.837980784980255,67689/14858/14857/621603,4,Downregulated advanced-passage signature
Environmental Information Processing,Signaling molecules and interaction,mmu04061,Viral protein interaction with cytokine and cytokine receptor - Mus musculus (house mouse),4/359,37/5932,0.108108108108108,1.78634344651058,1.21769323635582,0.183007297869251,0.890635516297022,0.837980784980255,55985/16174/16173/12778,4,Downregulated advanced-passage signature
Human Diseases,Immune disease,mmu05323,Rheumatoid arthritis - Mus musculus (house mouse),5/359,52/5932,0.0961538461538462,1.58881508463681,1.08232727029533,0.204480410038322,0.950129109565068,0.89395709299381,16415/21687/14254/16173/12519,5,Downregulated advanced-passage signature
Human Diseases,Substance dependence,mmu05033,Nicotine addiction - Mus musculus (house mouse),2/359,14/5932,0.142857142857143,2.36052526860326,1.29345050408044,0.206297288498221,0.950129109565068,0.89395709299381,14799/14811,2,Downregulated advanced-passage signature
Organismal Systems,Endocrine system,mmu04925,Aldosterone synthesis and secretion - Mus musculus (house mouse),6/359,66/5932,0.0909090909090909,1.50215244365662,1.04112573980602,0.207999075939806,0.950129109565068,0.89395709299381,98660/67972/12322/12292/18160/231991,6,Downregulated advanced-passage signature
Metabolism,Amino acid metabolism,mmu00330,Arginine and proline metabolism - Mus musculus (house mouse),4/359,39/5932,0.102564102564103,1.69473609027927,1.10471590821435,0.208247476069056,0.950129109565068,0.89395709299381,12709/67092/12715/75986,4,Downregulated advanced-passage signature
Environmental Information Processing,Signal transduction,mmu04015,Rap1 signaling pathway - Mus musculus (house mouse),13/359,168/5932,0.0773809523809524,1.27861785382677,0.929754442444765,0.216133731747382,0.970939225695933,0.913536906656952,16415/16334/12550/21687/11541/11540/23880/106952/14176/14254/71785/58220/14811,13,Downregulated advanced-passage signature
Human Diseases,Infectious disease: parasitic,mmu05145,Toxoplasmosis - Mus musculus (house mouse),7/359,83/5932,0.0843373493975904,1.39356311038024,0.916387769930471,0.235503927906287,0.99999922275763,0.940878864959414,21939/16773/11689/16782/16403/54396/193740,7,Downregulated advanced-passage signature
