sample,passage,day_numeric,day,replicate,PC1,PC2,PC3,PC4,PC5,total_normalized_count,detected_genes,median_log2_expression
Middle_Passage_D1_R02,Middle Passage,1,D1,2,-21.7074661859723,6.3920615872483,20.5853801898371,-8.68000474780348,-9.44360492686342,17105842.5130097,21803,1.9142035733912
Middle_Passage_D1_R03,Middle Passage,1,D1,3,-20.3534680701764,5.71767261737628,20.9780375019314,-8.52854947395008,-9.29090840139648,16842530.8329166,21555,1.98726095057716
Middle_Passage_D2_R01,Middle Passage,2,D2,1,16.7341291619377,11.4181446526873,21.664145708757,-7.93504653526477,-2.77233848244885,17562560.7779215,21362,2.06641844552281
Middle_Passage_D2_R02,Middle Passage,2,D2,2,15.348413505867,10.7681985339249,21.6997075130064,-9.17606503006774,-3.54601304067752,17544330.4767389,21738,1.89942125205522
Middle_Passage_D2_R03,Middle Passage,2,D2,3,15.1633109230953,10.5204009163462,21.0960378392555,-7.98521448139722,-3.64181577207315,17384978.0953038,21242,2.08974570387206
Middle_Passage_D6_R01,Middle Passage,6,D6,1,78.1581994557252,0.689972868897902,-14.3900800617628,-6.66711172156817,-2.22978959433944,18066779.2515939,22430,2.28434159474861
Middle_Passage_D6_R02,Middle Passage,6,D6,2,79.1643447774926,-0.0772196041031199,-14.8050119906505,-6.37039436817837,-2.06674050007569,18091730.0563494,22116,2.28792120185792
Middle_Passage_D6_R03,Middle Passage,6,D6,3,78.6806386707229,0.628490092829241,-14.0360507196982,-6.2807617601242,-2.27396105973542,17923227.1709786,22325,2.26280021032849
Late_Passage_D0_R01,Late Passage,0,D0,1,-69.3032655167236,18.4618017972118,-23.8997394438479,12.4756721201666,-4.5483787415284,18748764.8325811,20273,1.77878908882486
Late_Passage_D0_R02,Late Passage,0,D0,2,-68.5897757320703,16.7806101615025,-24.3570179807195,12.4295928920487,-3.93078442490943,18624340.3322823,20814,1.57565104956185
Late_Passage_D0_R03,Late Passage,0,D0,3,-68.4168730809365,17.3752204968555,-24.180032127778,11.9799200097529,-3.86442421416808,19061993.5358367,20314,1.75954117673267
Late_Passage_D1_R01,Late Passage,1,D1,1,-31.4183603673836,35.4430722611116,7.61579355110036,6.8825427279161,-4.85061040604357,17111875.2871496,21136,2.05459972777229
Late_Passage_D1_R02,Late Passage,1,D1,2,-33.0376766366044,35.4849293563288,6.07889814217496,6.83707517321517,-4.46762754814049,17238987.7087506,21346,1.99839240806402
Late_Passage_D1_R03,Late Passage,1,D1,3,-32.8904891586856,36.4962014572895,6.74069005660273,5.89656481530205,-5.18949756871573,17563844.5236541,20863,1.72883046780632
Late_Passage_D2_R01,Late Passage,2,D2,1,3.54121298594584,46.7173050220844,13.4322546826328,2.43863395072242,3.85690625736442,17689061.1372196,21625,1.98130985440899
Late_Passage_D2_R02,Late Passage,2,D2,2,2.87764966816724,44.9111917236198,13.3182224835981,1.81676598881484,3.98560714012311,17928214.8128956,21759,1.86839650133836
Late_Passage_D2_R03,Late Passage,2,D2,3,0.94543979275735,45.934748652826,14.066186028,2.81195270192006,3.36093723966725,17886542.0818079,21074,2.06259119447567
Late_Passage_D6_R01,Late Passage,6,D6,1,65.9757732238154,33.788067610373,-16.2146386832825,-2.31507218182854,15.6436990523411,18652672.1883561,22298,2.24520785409735
Late_Passage_D6_R02,Late Passage,6,D6,2,65.8913001196414,34.1847619515218,-15.4882542621689,-2.43456267215552,14.4510715596085,18861397.6299206,22068,2.00746207630053
Late_Passage_D6_R03,Late Passage,6,D6,3,66.212446669868,34.7845270737034,-16.3516691002895,-0.779744205838987,15.8668808661253,18772482.1460592,21589,2.07254208614715
