category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,gene_set
Environmental Information Processing,Signal transduction,mmu04371,Apelin signaling pathway - Mus musculus (house mouse),9/260,111/5932,0.0810810810810811,1.84989604989605,1.93513391948905,0.0537246475104583,0.24070665988049,0.200628129737994,14706/16449/18125/213435/30878/14702/18795/20192/14677,9,Upregulated advanced-passage signature
Organismal Systems,Digestive system,mmu04978,Mineral absorption - Mus musculus (house mouse),4/260,33/5932,0.121212121212121,2.76550116550117,2.17730016442184,0.0544293338889242,0.24070665988049,0.200628129737994,22337/53945/64177/17750,4,Upregulated advanced-passage signature
Metabolism,Amino acid metabolism,mmu00350,Tyrosine metabolism - Mus musculus (house mouse),3/260,20/5932,0.15,3.42230769230769,2.32305567518873,0.054671842287314,0.24070665988049,0.200628129737994,11754/11529/11522,3,Upregulated advanced-passage signature
Environmental Information Processing,Signal transduction,mmu04010,MAPK signaling pathway - Mus musculus (house mouse),16/260,237/5932,0.0675105485232067,1.54027913015255,1.81730585454736,0.0554788584111167,0.24070665988049,0.200628129737994,12289/170758/16000/12291/21809/14165/18596/14102/11602/14183/22341/12286/21808/12064/12296/81904,16,Upregulated advanced-passage signature
Organismal Systems,Endocrine system,mmu04921,Oxytocin signaling pathway - Mus musculus (house mouse),9/260,113/5932,0.079646017699115,1.81715452688904,1.87759430372067,0.0589261359758268,0.251605247261864,0.209712062871363,12289/230103/213435/16518/18795/20192/14677/12296/81904,9,Upregulated advanced-passage signature
Organismal Systems,Endocrine system,mmu04924,Renin secretion - Mus musculus (house mouse),5/260,49/5932,0.102040816326531,2.32810047095761,1.99853644059961,0.0618606654177968,0.260008109334177,0.216715817993269,12289/13614/16518/18795/14677,5,Upregulated advanced-passage signature
Human Diseases,Cancer: specific types,mmu05224,Breast cancer - Mus musculus (house mouse),9/260,116/5932,0.0775862068965517,1.77015915119363,1.79341088256694,0.0673187254749483,0.277052480486462,0.230922239654144,12006/16000/14165/14368/22410/16449/22419/22417/14362,9,Upregulated advanced-passage signature
Human Diseases,Cardiovascular disease,mmu05412,Arrhythmogenic right ventricular cardiomyopathy - Mus musculus (house mouse),6/260,66/5932,0.0909090909090909,2.07412587412587,1.87861870238465,0.0679757015319944,0.277052480486462,0.230922239654144,12289/18125/319480/109700/12296/81904,6,Upregulated advanced-passage signature
Cellular Processes,Cellular community - eukaryotes,mmu04540,Gap junction - Mus musculus (house mouse),6/260,67/5932,0.0895522388059701,2.04316877152698,1.83840204951066,0.072059714982542,0.289314378064236,0.241142486901515,18596/15559/15558/15560/18795/14677,6,Upregulated advanced-passage signature
Cellular Processes,Cell growth and death,mmu04115,p53 signaling pathway - Mus musculus (house mouse),6/260,68/5932,0.0882352941176471,2.0131221719457,1.798878455111,0.0762819512242123,0.299560048384785,0.249682216028015,64058/16000/16009/14102/98376/21825,6,Upregulated advanced-passage signature
Environmental Information Processing,Signaling molecules and interaction,mmu04061,Viral protein interaction with cytokine and cytokine receptor - Mus musculus (house mouse),4/260,37/5932,0.108108108108108,2.46652806652807,1.91571924093684,0.076838822819889,0.299560048384785,0.249682216028015,14825/17329/20315/252837,4,Upregulated advanced-passage signature
Metabolism,Xenobiotics biodegradation and metabolism,mmu00983,Drug metabolism - other enzymes - Mus musculus (house mouse),5/260,53/5932,0.0943396226415094,2.15239477503628,1.80413906397408,0.0810607730891428,0.307117576915203,0.255981388702556,14871/56615/72361/99586/12623,5,Upregulated advanced-passage signature
Human Diseases,Infectious disease: bacterial,mmu05133,Pertussis - Mus musculus (house mouse),5/260,53/5932,0.0943396226415094,2.15239477503628,1.80413906397408,0.0810607730891428,0.307117576915203,0.255981388702556,50908/50909/14677/317677/667277,5,Upregulated advanced-passage signature
Organismal Systems,Sensory system,mmu04742,Taste transduction - Mus musculus (house mouse),3/260,24/5932,0.125,2.85192307692308,1.94621513660286,0.0855261963597223,0.319535372510629,0.266331576383346,12286/18795/15552,3,Upregulated advanced-passage signature
Organismal Systems,Endocrine system,mmu04911,Insulin secretion - Mus musculus (house mouse),5/260,55/5932,0.0909090909090909,2.07412587412587,1.71333072270492,0.0917227368248968,0.333424543322936,0.277908149981551,84036/12289/116838/18795/58802,5,Upregulated advanced-passage signature
Human Diseases,Substance dependence,mmu05032,Morphine addiction - Mus musculus (house mouse),5/260,55/5932,0.0909090909090909,2.07412587412587,1.71333072270492,0.0917227368248968,0.333424543322936,0.277908149981551,14773/14706/12286/14702/14677,5,Upregulated advanced-passage signature
Metabolism,Metabolism of other amino acids,mmu00410,beta-Alanine metabolism - Mus musculus (house mouse),3/260,26/5932,0.115384615384615,2.63254437869823,1.78602475239162,0.103178992374572,0.370068652650131,0.308450882467141,11754/99586/268860,3,Upregulated advanced-passage signature
Human Diseases,Drug resistance: antineoplastic,mmu01521,EGFR tyrosine kinase inhibitor resistance - Mus musculus (house mouse),6/260,75/5932,0.08,1.82523076923077,1.53975263909871,0.109640187702025,0.385365559521252,0.321200798974865,16000/18596/16452/14183/14456/211323,6,Upregulated advanced-passage signature
Organismal Systems,Endocrine system,mmu04927,Cortisol synthesis and secretion - Mus musculus (house mouse),4/260,42/5932,0.0952380952380952,2.17289377289377,1.63308279443021,0.110309100680804,0.385365559521252,0.321200798974865,12289/12291/16492/18795,4,Upregulated advanced-passage signature
Human Diseases,Cancer: specific types,mmu05225,Hepatocellular carcinoma - Mus musculus (house mouse),10/260,149/5932,0.0671140939597315,1.53123386680434,1.40599836939715,0.117669488107901,0.400691332107887,0.333974774951986,12006/14871/56615/21809/14368/22410/22419/22417/21808/14362,10,Upregulated advanced-passage signature
Organismal Systems,Endocrine system,mmu04929,GnRH secretion - Mus musculus (house mouse),4/260,43/5932,0.0930232558139535,2.12236135957066,1.58135247275314,0.117675149578153,0.400691332107887,0.333974774951986,84036/12289/12291/18795,4,Upregulated advanced-passage signature
Human Diseases,Infectious disease: parasitic,mmu05142,Chagas disease - Mus musculus (house mouse),6/260,77/5932,0.0779220779220779,1.77782217782218,1.47076998958559,0.120354467370443,0.404691896533115,0.337309230919795,21809/14102/24088/21808/18795/14677,6,Upregulated advanced-passage signature
Organismal Systems,Digestive system,mmu04973,Carbohydrate digestion and absorption - Mus musculus (house mouse),3/260,28/5932,0.107142857142857,2.44450549450549,1.64024062548101,0.122134041150379,0.40560564283274,0.338070835153095,12289/18795/11722,3,Upregulated advanced-passage signature
