ensembl_gene_id,symbol,trajectory_direction,average_post_log2FC,average_post_fdr
ENSMUSG00000024620,Pdgfrb,higher,1.38207339244618,0.00000000000000000000000000000000000000000000000000356457007715413
ENSMUSG00000020186,Csrp2,higher,1.30826866266321,0.00000000000000000000000000000000000000000000000000645236306673858
ENSMUSG00000022377,Asap1,higher,1.0137803126049,0.00000000000000000000000000000000000000000000000000706126121565871
ENSMUSG00000020142,Slc1a4,higher,1.30888144098188,0.0000000000000000000000000000000000000000000000000075954511978239
ENSMUSG00000051375,Pcdh1,lower,-2.03880418249565,0.00000000000000000000000000000000000000000000000000937403162620779
ENSMUSG00000018166,Erbb3,lower,-2.44130681693547,0.00000000000000000000000000000000000000000000000000997855824159164
ENSMUSG00000014329,Bicc1,higher,1.55616505044345,0.0000000000000000000000000000000000000000000000000103208928373554
ENSMUSG00000021822,Plau,lower,-1.43374508550911,0.0000000000000000000000000000000000000000000000000131616797307522
ENSMUSG00000056870,Gulp1,higher,1.62234233565163,0.0000000000000000000000000000000000000000000000000172025884850188
ENSMUSG00000031740,Mmp2,higher,1.06506006514449,0.0000000000000000000000000000000000000000000000000198827888273573
ENSMUSG00000064080,Fbln2,higher,1.04177578378429,0.0000000000000000000000000000000000000000000000000326037229114713
ENSMUSG00000075254,Heg1,lower,-1.07942165079983,0.0000000000000000000000000000000000000000000000000425807597036749
ENSMUSG00000022661,Cd200,lower,-1.88337017162347,0.0000000000000000000000000000000000000000000000000477835251261275
ENSMUSG00000020846,Rflnb,higher,1.47399906515173,0.000000000000000000000000000000000000000000000000106246314915185
ENSMUSG00000024074,Crim1,higher,1.32787549766168,0.000000000000000000000000000000000000000000000000115135679444856
ENSMUSG00000024381,Bin1,lower,-1.03772320138659,0.000000000000000000000000000000000000000000000000164883475682995
ENSMUSG00000054263,Lifr,higher,1.08635510078838,0.000000000000000000000000000000000000000000000000178446838369126
ENSMUSG00000027111,Itga6,lower,-1.36582606074035,0.000000000000000000000000000000000000000000000000285229773167182
ENSMUSG00000075602,Ly6a,lower,-1.25342157454934,0.000000000000000000000000000000000000000000000000517494340016794
ENSMUSG00000003032,Klf4,lower,-1.5175203922242,0.00000000000000000000000000000000000000000000000077572628228376
ENSMUSG00000019256,Ahr,higher,1.41740919855824,0.000000000000000000000000000000000000000000000000928498881730689
ENSMUSG00000033282,Rpgrip1l,higher,1.1405325916848,0.00000000000000000000000000000000000000000000000110284550220102
ENSMUSG00000031290,Lrch2,higher,1.32985832249592,0.00000000000000000000000000000000000000000000000112552250502362
ENSMUSG00000037185,Krt80,lower,-1.86637069629643,0.00000000000000000000000000000000000000000000000138316518671828
ENSMUSG00000030616,Sytl2,lower,-1.1925810132699,0.00000000000000000000000000000000000000000000000175190996980707
ENSMUSG00000015222,Map2,lower,-1.92284992384178,0.00000000000000000000000000000000000000000000000186799433201523
ENSMUSG00000022297,Fzd6,higher,1.25504181117746,0.00000000000000000000000000000000000000000000000264569530305726
